City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Sovetskiy,RU,79.93,broken clouds,61.36,63.58,Apartment on Kievskaya 29
233,Itarema,BR,85.55,clear sky,-2.92,-39.92,Windvillage
235,Barra Do Garcas,BR,89.83,clear sky,-15.89,-52.26,Hotel Pousada Tropical
237,Hithadhoo,MV,85.21,overcast clouds,-0.6,73.08,Scoop Guest House
241,Halifax,CA,75.99,overcast clouds,44.65,-63.57,Hotel Halifax
245,Gat,IL,82.99,clear sky,31.61,34.76,רגע בנחת
248,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
249,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
250,Harindanga,IN,86.0,haze,22.04,88.32,Sk giasuddin
252,Basco,PH,84.15,overcast clouds,20.45,121.97,Nathaniel's Lodge
253,Port Said,EG,82.4,clear sky,31.26,32.28,Aracan Hotel
254,Naze,JP,82.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
261,Russell,US,84.99,scattered clouds,32.35,-85.2,Macs
265,Santa Marta,CO,86.0,scattered clouds,11.24,-74.2,Hotel La Ballena Azul
266,Fomboni,KM,78.64,clear sky,-12.28,43.74,Auberge les abou
269,Bitung,ID,75.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
272,Lalas,GR,84.2,few clouds,37.72,21.72,Karameros Hotel
274,Esmeraldas,BR,78.8,clear sky,-19.76,-44.31,Hotel Fazenda Lagoa Azul
275,Denpasar,ID,78.8,scattered clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
276,La Rioja,ES,87.8,few clouds,42.25,-2.5,Casa Concejos
283,Devarkonda,IN,76.59,overcast clouds,16.7,78.93,VANAM ANJANEYULU
286,Huilong,CN,75.99,broken clouds,31.81,121.66,Hilton Garden Inn Qidong
288,Hakkari,TR,75.2,broken clouds,37.58,44.17,
294,Mineiros,BR,80.17,clear sky,-17.57,-52.55,Pilões Palace Hotel
295,Melykut,HU,79.5,clear sky,46.22,19.38,Zöldfa Vendégház
297,Rabat,MA,77.0,clear sky,33.99,-6.84,Hôtel Mercure Rabat Sheherazade
298,Kulhudhuffushi,MV,83.25,overcast clouds,6.62,73.07,Haajy Guest House 1
299,Cabo San Lucas,MX,84.99,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
307,Vung Tau,VN,82.65,overcast clouds,10.35,107.08,Seaside Resort
311,Biak,ID,75.99,broken clouds,-0.91,122.88,Kost Ariz
313,Del Rio,US,89.6,overcast clouds,29.36,-100.9,Holiday Inn Express & Suites del Rio
323,Corsicana,US,89.6,broken clouds,32.1,-96.47,Holiday Inn Express & Suites Corsicana I-45
327,Odweyne,SO,83.21,broken clouds,9.41,45.06,Eng Hiirey House
334,Maizuru,JP,75.0,overcast clouds,35.45,135.33,舞鶴ホテル
337,Chisindia,RO,84.2,clear sky,46.28,22.1,Elim - Pensiune | Restaurant | Pizzerie
339,Kousseri,CM,82.4,thunderstorm with light rain,12.08,15.03,Résidence le Palmier
340,Pasni,PK,86.45,overcast clouds,25.26,63.47,3G hotel pasni
342,Kibala,TD,80.6,few clouds,9.11,18.35,
